trait,id,common_id,study_id,study_name,country,gradient_id,species,family,ele_level,treatment,control,sd_treatment,sd_control,n_individuals,pt,LONG,LAT,ARIDITY_INDEX,SOLAR_RADIATION,MEAN_GROWING_SEASON_TEMPERATURE,elevation_treatment,elevation_control,elevation,elevation_log,yi,vi
SLA,1,1,3,Bansal and Germino (2010),USA,Teton Range,Abies lasiocarpa,Pinaceae,2,3.283695,4.0391003,1.145214838,0.477685283,6,w,-110.9,43.79,0.9641,132.268371582031,10.4666664997737,2440,2190,250,5.52146091786225,-0.207052656418536,0.022603133840756
SLA,2,1,3,Bansal and Germino (2010),USA,Teton Range,Abies lasiocarpa,Pinaceae,3,3.34668,4.0391003,0.8584009,0.477685283,6,w,-110.9,43.79,0.9641,132.268371582031,10.4666664997737,2620,2190,430,6.06378520868761,-0.188053159501089,0.013295911976937
SLA,3,2,3,Bansal and Germino (2010),USA,Teton Range,Pseudotsuga menziesii,Pinaceae,2,4.740399,4.3311516,1.049269305,0.860446959,6,w,-110.9,43.79,0.9641,132.268371582031,10.4666664997737,2740,2620,120,4.78749174278205,0.090287844296186,0.01474363427143
SLA,4,2,3,Bansal and Germino (2010),USA,Teton Range,Pseudotsuga menziesii,Pinaceae,3,4.6766827,4.3311516,1.145215573,0.860446959,6,w,-110.9,43.79,0.9641,132.268371582031,10.4666664997737,3050,2620,430,6.06378520868761,0.07675556872488,0.016572130266256
SLA,5,3,34,Li et al. (2004),China,West Sichuan,Picea likiangensis,Pinaceae,2,9.323157895,10.20052632,0.526315789,0.526315789,10,w,104.33,32.41,0.7084,128.467422485352,21.3666663169861,3770,3600,170,5.13579843705026,-0.089937917715769,0.000584913003968
SLA,6,3,34,Li et al. (2004),China,West Sichuan,Picea likiangensis,Pinaceae,3,8.444736842,10.20052632,0.526842105,0.526315789,10,w,104.33,32.41,0.7084,128.467422485352,21.3666663169861,3900,3600,300,5.7037824746562,-0.188895930582031,0.000655438495869
SLA,7,4,34,Li et al. (2004),China,West Sichuan,Picea asperata,Pinaceae,2,8.778947368,9.447368421,0.737894737,0.736842105,10,w,104.33,32.41,0.7084,128.467422485352,21.3666663169861,3770,3600,170,5.13579843705026,-0.073379718046078,0.001314799704242
SLA,8,4,34,Li et al. (2004),China,West Sichuan,Picea asperata,Pinaceae,3,7.691578947,9.447368421,0.842631579,0.736842105,10,w,104.33,32.41,0.7084,128.467422485352,21.3666663169861,3900,3600,300,5.7037824746562,-0.20561014160759,0.001808487768157
SLA,9,5,38,Li et al. (2017),China,Wuyishan National Nature Reserve,Pinus hwangshanensis,Pinaceae,2,9.32328499,9.716463518,0.191549443,0.320331029,45,w,117.93,28.01,1.7669,138.589416503906,25.0666666030884,1600,1200,400,5.99146454710798,-0.041306683337522,3.35330712275206E-05
SLA,10,5,38,Li et al. (2017),China,Wuyishan National Nature Reserve,Pinus hwangshanensis,Pinaceae,3,10.30830198,9.716463518,0.253813486,0.320331029,45,w,117.93,28.01,1.7669,138.589416503906,25.0666666030884,2000,1200,800,6.68461172766793,0.059127871382264,3.76252141054538E-05
SLA,11,6,42,Luo et al. (2005),China,Hailuogou Natural Reserve 2,Abies fabri,Pinaceae,2,4.433333333,4.6,1.46401275,1.452583905,30,w,101.96,29.53,1.512,136.651580810547,5.29999987284342,3050,2850,200,5.29831736654804,-0.036904557010639,0.0069589089559
SLA,12,6,42,Luo et al. (2005),China,Hailuogou Natural Reserve 2,Abies fabri,Pinaceae,3,4.833333333,4.6,2.025668614,1.452583905,30,w,101.96,29.53,1.512,136.651580810547,5.29999987284342,3700,2850,850,6.74523634948436,0.049480057194404,0.009178816142229
SLA,13,7,66,Wieser er al. (2010),Austria,Mt. Patscherkofel,Pinus cembra,Pinaceae,2,3.557073685,4.392971859,0.596238367531661,0.736352013417086,3,w,11.45,47.2,1.5205,119.177619934082,12.2666663328807,2100,1950,150,5.01063529409626,-0.211067750857808,0.01873108159942
SLA,14,7,66,Wieser er al. (2010),Austria,Mt. Patscherkofel,Pinus cembra,Pinaceae,3,3.652955559,4.392971859,0.612310132440752,0.736352013417086,3,w,11.45,47.2,1.5205,119.177619934082,12.2666663328807,2180,1950,230,5.4380793089232,-0.184469376978302,0.01873108159942
SLA,15,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,2,3.308670004,3.541306791,0.05068173,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,1505,1420,85,4.44265125649032,-0.06794951186584,0.00013181136927
SLA,16,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,3,3.695303072,3.541306791,0.124946183,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,1622,1420,202,5.30826769740121,0.042566764202095,0.00031353647647
SLA,17,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,4,3.472914067,3.541306791,0.11400438,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,1757,1420,337,5.82008293035236,-0.019501778732297,0.000300402746061
SLA,18,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,5,3.604065586,3.541306791,0.058830191,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,1850,1420,430,6.06378520868761,0.01756672866713,0.000138173956987
SLA,19,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,6,3.616775604,3.541306791,0.069638887,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,1962,1420,542,6.29526600143965,0.021087102759807,0.000159030503063
SLA,20,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,7,3.841906681,3.541306791,0.081738027,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,2045,1420,625,6.4377516497364,0.081472965852487,0.000175412392256
SLA,21,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,8,3.971964085,3.541306791,0.058904649,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,2110,1420,690,6.5366915975913,0.114764895071151,0.000128870437705
SLA,22,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,9,3.599522663,3.541306791,0.072307823,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,2240,1420,820,6.7093043402583,0.016305434033058,0.000165590942431
SLA,23,8,72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,10,3.481467261,3.541306791,0.100566579,0.072956089,5,w,87.27,43.55,0.2833,149.062744140625,17.950000445048,2300,1420,880,6.77992190747225,-0.017041977375636,0.000251767266291
SLA,24,9,16,Dogan et al. (2015),Turkey,Samsun_shade,Hedera helix,Araliaceae,2,21.70318313,21.23152709,6.803414764,4.619463094,5,w,36.39,41.24,0.7641,148.399597167969,21.0999995867411,200,10,190,5.24702407216049,0.021971733920579,0.029121201441292
SLA,25,9,16,Dogan et al. (2015),Turkey,Samsun_shade,Hedera helix,Araliaceae,3,19.49152542,21.23152709,2.273967435,4.619463094,5,w,36.39,41.24,0.7641,148.399597167969,21.0999995867411,400,10,390,5.96614673912369,-0.085507426626361,0.012189949024987
SLA,26,10,16,Dogan et al. (2015),Turkey,Samsun_sun,Hedera helix,Araliaceae,2,19.14710414,20.55453991,6.066615438,3.72450892,5,w,36.39,41.24,0.7641,148.399597167969,21.0999995867411,200,10,190,5.24702407216049,-0.070930352389178,0.026644608666685
SLA,27,10,16,Dogan et al. (2015),Turkey,Samsun_sun,Hedera helix,Araliaceae,3,16.77966102,20.55453991,2.273967435,3.72450892,5,w,36.39,41.24,0.7641,148.399597167969,21.0999995867411,400,10,390,5.96614673912369,-0.202914337332884,0.010239875280574
SLA,28,11,30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,2,5.869599085,6.233773127,0.207202161,0.392418631,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4260,4190,70,4.24849524204936,-0.060195455307555,0.00017363030587
SLA,29,11,30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,3,5.785638459,6.233773127,0.205556493,0.392418631,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4310,4190,120,4.78749174278205,-0.074603068717779,0.00017416824092
SLA,30,11,30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,4,4.945963272,6.233773127,0.350509898,0.392418631,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4390,4190,200,5.29831736654804,-0.231410044564197,0.000299500357268
