"
Alt","
TM(mg)","
NM(mg)","
SM(mg)","
TLA(mm2)","
LMA
(mg/mm2)"
1200,6285,5332.1,952.9,39138.57664,0.136236431
1200,7786.6,6552.5,1234.1,43889.97594,0.149293771
1200,2346.1,2028.5,317.6,15347.8785,0.132168104
1200,2135.4,1759.7,375.7,13205.98713,0.133250168
1200,1926.6,1666.6,260,12749.49163,0.130718938
1200,2044.2,1803.5,240.7,18263.77769,0.098747369
1200,1027.6,918.2,109.4,9926.458642,0.092500259
1200,2704.5,2410.6,293.9,23619.44201,0.102059989
1200,4711.6,4087.2,624.4,38530.28933,0.106077584
1200,3056.5,2625.2,431.3,25268.22406,0.103893332
1200,2344.2,2043.7,300.5,19579.6303,0.104378886
1200,3706.6,3179.8,526.8,27931.31112,0.113843564
1200,2952.8,2574.3,378.5,23056.44035,0.111652101
1200,3311.8,2785.7,526.1,25343.03474,0.109919748
1200,2340.4,2025.5,314.9,18997.74675,0.106617907
1200,975,811,164,10377.81437,0.078147476
1200,919,746,173,9971.521276,0.074813058
1200,508,394,114,5420.827868,0.072682625
1200,673,559,114,6790.222979,0.082324248
1200,1361,1103,258,14030.83215,0.078612586
1200,1915,1506,409,20044.18213,0.075134021
1200,1483,1188,295,15016.80868,0.07911135
1200,1362,1113,249,13385.708,0.083148385
1200,1050,920,130,13961.42011,0.065895875
1200,1870,1546,324,17945.61285,0.086149189
1200,3177,2468,709,21492.46598,0.114830937
1200,1102,849,253,10122.57474,0.083871942
1200,961,796,165,8787.609665,0.090582084
1200,1413,1141,272,11352.74432,0.100504333
1200,3684,3096,588,21387.24755,0.14475916
1200,3391.5,2896.3,495.2,20949.62118,0.13825071
1200,1964.7,1655.4,309.3,12678.11084,0.130571504
1200,3427.5,2873.1,554.4,19472.97181,0.147542965
1200,1443.7,1278.4,165.3,8872.74928,0.14408161
1200,3863.1,3246.9,616.2,23341.65224,0.139103263
1200,3326.1,2982.5,343.6,27038.67711,0.110304953
1200,872.4,797.5,74.9,7925.073756,0.100629978
1200,2534.5,2240.3,294.2,21807.51911,0.102730622
1200,759,660.3,98.7,6293.263399,0.104921717
1200,3454.2,3081.2,373,27224.71258,0.113176585
1200,3312.9,2762,550.9,24024.45374,0.114966194
1200,1453.2,1220.1,233.1,11701.57516,0.104268014
1200,3504,2953,551,24243.6146,0.121805269
1200,4476.5,3661.6,814.9,28611.3693,0.127977098
1200,1401.9,1182.1,219.8,11350.89486,0.104141569
1600,1674.7,1335.1,339.6,11104.99073,0.120225224
1600,2225.4,1817.8,407.6,14358.42907,0.126601593
1600,2008.4,1652.6,355.8,13474.63454,0.122645256
1600,3179.2,2688,491.2,22592.93072,0.118975269
1600,4764.4,3983.1,781.3,32905.50468,0.121046616
1600,1388.7,1160.2,228.5,10280.48521,0.112854595
1600,2509.7,2083,426.7,18146.55869,0.114787604
1600,2443.9,1964.4,479.5,16342.46532,0.120202183
1600,2663.9,2285.5,378.4,21111.91516,0.108256403
1600,3486.7,3027.2,459.5,26343.02278,0.114914679
1600,2693.2,2244.9,448.3,18515.02669,0.121247462
1600,1503.3,1198.4,304.9,9521.506246,0.125862439
1600,4541.9,3869.6,672.3,32558.73118,0.11884984
1600,4320.4,3420.9,899.5,25448.77427,0.134422977
1600,1977.9,1698.5,279.4,14025.28557,0.121102704
1600,1332,1066,266,13060.31797,0.08162129
1600,1858,1432,426,17065.66479,0.083911176
1600,825,689,136,9158.1824,0.075233269
1600,1312,1048,264,13381.9804,0.078314268
1600,922,716,206,8464.664074,0.084586936
1600,3257,2365,892,21204.98268,0.111530391
1600,1873,1445,428,13535.43529,0.106756818
1600,2018,1582,436,14408.92459,0.109793065
1600,3242,2384,858,21522.47308,0.11076794
1600,831,710,121,7045.749349,0.100769977
1600,1723,1444,279,13625.75053,0.105975814
1600,2389,1876,513,17887.89971,0.104875364
1600,1741,1353,388,13697.65002,0.098776067
1600,1963,1523,440,14231.0038,0.107019858
1600,2381,1740,641,17149.34205,0.101461618
1600,1752.8,1439.7,313.1,13348.36757,0.107855885
1600,2394.4,1901.9,492.5,18150.88126,0.104782791
1600,2979.4,2596.9,382.5,21060.76791,0.123305096
1600,1488.9,1249.1,239.8,12258.9719,0.101892721
1600,1772.3,1489.7,282.6,15021.09541,0.099173859
1600,1916.1,1664.3,251.8,15452.85798,0.10770176
1600,4729.1,3780.4,948.7,35835.06811,0.105494428
1600,1728.3,1462,266.3,14104.17968,0.103657216
1600,2707,2265.6,441.4,20691.04822,0.109496628
1600,2144.4,1848.9,295.5,16912.2099,0.109323383
1600,3850.2,3286.9,563.3,26884.00358,0.122262296
1600,3585,3000.3,584.7,26087.53205,0.115008963
1600,4002.4,3422.2,580.2,29374.85164,0.116501014
1600,2935.9,2464.4,471.5,22344.88004,0.110289247
1600,1912.5,1602.6,309.9,15381.1592,0.104192407
2000,3258.1,2365.1,893,19993.76726,0.118291864
2000,1950.9,1575.9,375,13147.07148,0.119866999
2000,3443,2951.2,491.8,24691.45301,0.11952314
2000,1672.9,1368.7,304.2,12110.77825,0.113015033
2000,3349.2,2707.7,641.5,22145.10207,0.12227083
2000,2673.4,2315.3,358.1,17024.73198,0.135996267
2000,2668.9,2356.9,312,18769.77031,0.125568931
2000,2812.8,2402.6,410.2,19807.76106,0.12129589
2000,4667.2,3831.1,836.1,28463.33415,0.134597724
2000,3282.3,2856.7,425.6,22038.15286,0.129625201
2000,2400.2,1794.8,605.4,16060.52144,0.111752287
2000,2797.7,2119.3,678.4,17930.88309,0.118192729
2000,2684.7,2016.9,667.8,17753.58357,0.113605233
2000,1514.8,1106.2,408.6,9874.786105,0.11202268
2000,2015.9,1606.8,409.1,14097.77149,0.113975461
2000,916,616,300,8308.291627,0.074142799
2000,1072,792,280,10013.7004,0.079091641
2000,718,554,164,7580.436452,0.073082863
2000,1666,1193,473,13850.03682,0.086136955
2000,1277,900,377,11357.79807,0.079240711
2000,1337,1085,252,12638.69157,0.085847494
2000,1252,1047,205,12059.68197,0.08681821
2000,1199,988,211,11985.80399,0.082430849
2000,1057,786,271,9039.222065,0.086954385
2000,1697,1373,324,14683.86311,0.093504004
2000,1379,961,418,10405.86449,0.09235177
2000,1238,941,297,10794.91031,0.08717071
2000,1134,869,265,10348.04382,0.083977225
2000,1354,1048,306,12099.06541,0.086618261
2000,1197,901,296,9808.159595,0.09186229
2000,2206.6,1793.5,413.1,21428.717,0.083696098
2000,2092.7,1585.7,507,17470.99015,0.090761885
2000,3746.2,3029.6,716.6,33389.07301,0.090736272
2000,652.7,526,126.7,6653.255511,0.079059041
2000,1716,1374.1,341.9,16531.03504,0.083122442
2000,2744.5,2047.2,697.3,20688.99805,0.098951143
2000,3262.8,2572.2,690.6,26247.48872,0.097997947
2000,2879.1,2103,776.1,20877.56398,0.100730143
2000,1409.7,1074,335.7,10626.43753,0.101068679
2000,1035.5,823,212.5,9707.321087,0.084781372
2000,2071.8,1652.8,419,16191.17909,0.102080274
2000,1907.9,1560,347.9,16947.62919,0.092048273
2000,3680.2,2762,918.2,25912.09871,0.106591135
2000,4602.1,3742.5,859.6,37017.82561,0.101099941
2000,1325.1,1191.2,133.9,12346.89287,0.096477714
